(Product),(Customer),(Purchase Date),Cost Amount,Profit After Tax,Profit Before Tax,Discounted Sales,Undiscounted Sales
U.S. Robotics 56K PCI Faxmodem,Jesus Ocampo,1/16/2001,626.92,217.112,271.39,898.31,997.124
Avery 511,Suzanne McNair,1/16/2001,70.28,37.072,46.34,116.62,134.113
1726 Digital Answering Machine,Jesus Ocampo,1/17/2001,373.65,98.944,123.68,497.33,571.929
OIC #2 Pencils  Medium Soft,Jesus Ocampo,1/17/2001,10.01,0.328,0.41,10.42,11.254
Tennsco Regal Shelving Units,Jesus Ocampo,1/17/2001,4726.25,-596.72,-596.72,4129.53,4831.55
Euro Pro Shark Stick Mini Vacuum,Suzanne McNair,1/17/2001,1529.61,-380.03,-380.03,1149.58,1207.06
Imation 5.2GB DVD-RAM,Karen Seio,1/18/2001,422.24,296.336,370.42,792.66,919.486
Logitech Cordless Access Duo,Jesus Ocampo,1/18/2001,1429.8,999.904,1249.88,2679.68,3162.02
Xerox 1897,Jesus Ocampo,1/18/2001,267.34,-107.36,-107.36,159.98,198.375
Polycom SoundPoint Pro SE-225,Suzanne McNair,1/18/2001,2981.62,3075.61,3844.51,6826.13,8054.83
DIXON Oriole Pencils,Jesus Ocampo,1/19/2001,59.27,-2.32,-2.32,56.95,67.201
Canon PC-428 Personal Copier,Elizabeth Moffitt,1/19/2001,4659.42,1980.09,2475.11,7134.53,8062.02
Newell 34,Herbert Flentye,1/19/2001,524.07,61.288,76.61,600.68,720.816
Xerox 20,Suzanne McNair,1/20/2001,152.45,-47.97,-47.97,104.48,111.794
Acco Pocket Keypad,Harold Pawlan,1/20/2001,334.58,191.712,239.64,574.22,660.353
Multimedia Mailers,Ellis Ballard,1/20/2001,1837.72,1268.29,1585.36,3423.08,4039.23
Avery Durable Plastic 1Inch Binders,Herbert Flentye,1/20/2001,156.75,-61.82,-61.82,94.93,105.372
Siemens Accessory39,Herbert Flentye,1/20/2001,243.62,-4.94,-4.94,238.68,293.576
Maxell 4.7GB DVD+R 5/Pack,Jim Sink,1/20/2001,84.9,-47.73,-47.73,37.17,45.347
Nokia T61,Jim Sink,1/20/2001,791.12,365.344,456.68,1247.8,1522.32
Verbatim 4.7GB DVD-R,Jim Sink,1/20/2001,516.08,392.784,490.98,1007.06,1208.47
Newell 317,Dave Hallsten,1/21/2001,18.77,2.96,3.7,22.47,26.515
Siemens Accessory21,Elizabeth Moffitt,1/21/2001,341.5,363.352,454.19,795.69,851.388
Acme Box Cutter Scissors,Jennifer Patt,1/21/2001,107.16,-8.86,-8.86,98.3,107.147
Imation CD-R,Patrick O_Brill,1/21/2001,30.2,-0.56,-0.56,29.64,34.382
Xerox 1918,Ellis Ballard,1/21/2001,533.08,373.024,466.28,999.36,1089.3
Eldon File Chest(TM) Portable File,Jim Sink,1/21/2001,678.86,71.672,89.59,768.45,922.14
Hot File 7-Pocket  Floor Stand,Jim Sink,1/21/2001,2953.71,1507.98,1884.97,4838.68,5129
Nokia CF 768,Karen Seio,1/22/2001,2444.32,1016.94,1271.18,3715.5,4421.44
Nokia 2160,Tonja Turnell,1/22/2001,1297.88,477.952,597.44,1895.32,2160.66
V 3600 Series,Sheri Gordon,1/22/2001,756.23,184.104,230.13,986.36,1075.13
Nokia P280,Jennifer Patt,1/22/2001,4044.94,2195.59,2744.49,6789.43,7468.37
Newell 319,Patrick O_Brill,1/22/2001,114.32,48.28,60.35,174.67,195.63
Acco Keyboard-In-A-Box,Debra Catini-Entman,1/22/2001,240.28,6.776,8.47,248.75,293.525
Newell 346,David Wiener,1/23/2001,97.14,17.216,21.52,118.66,128.153
Nokia 6000,Harold Pawlan,1/23/2001,1706.96,861.576,1076.97,2783.93,2923.13
Prang Dustless Chalk Sticks,Harold Pawlan,1/23/2001,15.88,1.08,1.35,17.23,18.608
Acco Keyboard-In-A-Box,Sandra Glassco,1/23/2001,694.15,-4.37,-4.37,689.78,813.94
Fiskars 8Inch Scissors  2/Pack,Sandra Glassco,1/23/2001,38.74,8.024,10.03,48.77,60.475
Nokia P280,Sandra Glassco,1/23/2001,2148.87,858.248,1072.81,3221.68,3543.85
Siemens Accessory18,Harold Pawlan,1/24/2001,1089.7,92.504,115.63,1205.33,1422.29
Logitech Cordless Access Duo,Nathan Mautz,1/24/2001,99.44,72.912,91.14,190.58,224.884
Nokia iDENi80s,Patrick O_Brill,1/24/2001,942.79,96.968,121.21,1064,1287.44
Avery 516,Hallie Redmond,1/25/2001,104.89,103.208,129.01,233.9,290.036
Belkin MediaBoard 104- Keyboard,William Brown,1/25/2001,1132.06,80.504,100.63,1232.69,1503.88
Xerox 1986,William Brown,1/25/2001,110.72,-9.5,-9.5,101.22,115.391
Xerox 1986,Henia Zydlo,1/25/2001,44.29,1.048,1.31,45.6,51.984
Avery 517,Heather Jas-Hannaway,1/25/2001,15.22,12.76,15.95,31.17,33.04
Avery 508,Hallie Redmond,1/26/2001,88.44,82.056,102.57,191.01,223.482
Contemporary Wood/Metal Frame,Hallie Redmond,1/26/2001,490.42,26.248,32.81,523.23,633.108
Nokia 6160i,Henia Zydlo,1/26/2001,2965.3,1523.04,1903.8,4869.1,5550.77
Nokia i600,Henia Zydlo,1/26/2001,459.27,230.56,288.2,747.47,852.116
Newell 348,Sheri Gordon,1/26/2001,109.08,22.536,28.17,137.25,155.093
Nokia 3395,Hallie Redmond,1/27/2001,1152.43,379.088,473.86,1626.29,1788.92
Siemens Accessory38,Jas O_Carroll,1/27/2001,1469.63,240.032,300.04,1769.67,2176.69
Avery Durable Plastic 1Inch Binders,Thomas Boland,1/27/2001,97.04,-28.47,-28.47,68.57,76.113
Avery 485,Laura Armstrong,1/27/2001,52.61,51.976,64.97,117.58,132.865
GBC Wire Binding Combs,Mary Zewe,1/27/2001,662.81,-189.69,-189.69,473.12,548.819
Maxell 4.7GB DVD+R 5/Pack,Mary Zewe,1/27/2001,16.98,-8.83,-8.83,8.15,9.943
Ibico 099 Scientific Calculator,Thomas Boland,1/28/2001,381.49,141.248,176.56,558.05,675.24
Avery 51,Laura Armstrong,1/28/2001,59.14,57.2,71.5,130.64,156.768
Nokia M3682,Laura Armstrong,1/28/2001,79.89,41.776,52.22,132.11,159.853
Embossed Ink Jet Note Cards,Jennifer Patt,1/28/2001,721.84,209.672,262.09,983.93,1121.68
Siemens Accessory31,Tracy Zic,1/28/2001,421.18,590.24,737.8,1158.98,1263.29
Xerox 1954,Robert Marley,1/29/2001,231.66,-73.51,-73.51,158.15,167.639
Logitech Access Keyboard,Tracy Zic,1/29/2001,89.21,45.256,56.57,145.78,172.02
Siemens Accessory26,Jane Waco,1/29/2001,219.99,17.184,21.48,241.47,265.617
Xerox 1942,Robert Marley,1/30/2001,779.5,239.248,299.06,1078.56,1207.99
Xerox 216,Jane Waco,1/30/2001,432.92,-156.12,-156.12,276.8,340.464
Xerox 1952,Jasper Cacioppo,1/31/2001,265.77,-97.31,-97.31,168.46,176.883
Avery 495,Michael Moore,1/31/2001,35.48,29.552,36.94,72.42,84.007
Advantus Rolling Storage Box,Jane Waco,1/31/2001,208.7,38.696,48.37,257.07,293.06
Acme Kleen Earth Office Shears,MaryBeth Skach,1/31/2001,26.31,-3.71,-3.71,22.6,26.894
Petty Cash Envelope,MaryBeth Skach,1/31/2001,119.46,105.616,132.02,251.48,306.806
Poly Designer Cover & Back,Dave Hallsten,2/2/2001,49.03,36.488,45.61,94.64,116.407
Logitech Access Keyboard,Debra Catini-Entman,2/2/2001,386.59,208.872,261.09,647.68,764.262
Dixon Ticonderoga Pencils,Laura Armstrong,2/3/2001,73.15,15,18.75,91.9,103.847
Global Leather Task Chair  Black,Nathan Mautz,2/3/2001,3650.16,-728.77,-728.77,2921.39,3330.39
Hon Racetrack Conference Tables,Nathan Mautz,2/3/2001,8888.95,3245.06,4056.32,12945.3,16052.1
Hon Non-Folding Utility Tables,Maxwell Schwartz,2/4/2001,5757.2,-1.66,-1.66,5755.54,6388.65
Bevis 36 x 72 Conference Tables,Henia Zydlo,2/4/2001,4171.8,-20.65,-20.65,4151.15,5064.4
Stockwell Push Pins,Mathew Reese,2/4/2001,65.06,7.16,8.95,74.01,92.513
Coloredge Poster Frame,Debra Catini-Entman,2/4/2001,82.82,22.144,27.68,110.5,120.445
Newell 329,Maurice Satty,2/4/2001,49.56,6.104,7.63,57.19,61.193
Xerox 1895,Jesus Ocampo,2/5/2001,293.99,-154.31,-154.31,139.68,153.648
Hon Olson Stacker Stools,Tanja Norvell,2/5/2001,209.5,80.712,100.89,310.39,325.909
Cameo Buff Policy Envelopes,Laura Armstrong,2/5/2001,375.56,438.696,548.37,923.93,1145.67
Global Value Steno Chair  Gray,Nathan Mautz,2/5/2001,2458.43,-315.89,-315.89,2142.54,2378.22
Acme Serrated Blade Letter Opener,Debra Catini-Entman,2/5/2001,211.2,-60.78,-60.78,150.42,169.975
Memorex 4.7GB DVD-RAM  3/Pack,Sandra Glassco,2/5/2001,322.09,285.04,356.3,678.39,820.852
Nokia V3682,Maurice Satty,2/5/2001,3848.17,1398,1747.5,5595.67,5987.37
SlimView Poly Binder  3/8Inch,Hallie Redmond,2/6/2001,63.18,-13.09,-13.09,50.09,54.097
Nokia 6161i,Tanja Norvell,2/6/2001,1688.97,702.04,877.55,2566.52,2951.5
Staples #10 Colored Envelopes,Tanja Norvell,2/6/2001,267.36,72.592,90.74,358.1,390.329
Avery 482,Patrick O_Brill,2/6/2001,2.09,1.28,1.6,3.69,4.28
Balt Solid Wood Rectangular Table,Thomas Boland,2/7/2001,3005.97,-259.71,-259.71,2746.26,3405.36
Siemens Accessory37,Laura Armstrong,2/7/2001,78.01,-1.63,-1.63,76.38,91.656
Siemens Accessory38,Laura Armstrong,2/7/2001,3159.71,278.24,347.8,3507.51,4314.24
Deluxe Chalkboard Eraser Cleaner,Mary Zewe,2/7/2001,11.01,10.768,13.46,24.47,29.364
Acco Banker_s Clasps  5 3/4Inch-Long,Patrick O_Brill,2/7/2001,98.44,3.448,4.31,102.75,117.135
Fiskars 8Inch Scissors  2/Pack,Sandra Glassco,2/7/2001,77.49,24.144,30.18,107.67,133.511
Hon Rectangular Conference Tables,MaryBeth Skach,2/7/2001,7488.56,654.112,817.64,8306.2,9469.07
Color-Coded Legal Exhibit Labels,Hallie Redmond,2/8/2001,93.63,-14.47,-14.47,79.16,97.367
Surelock(TM) Post Binders,Hallie Redmond,2/8/2001,437.95,478.92,598.65,1036.6,1233.55
Avery File Folder Labels,Iggy Osterman,2/8/2001,210.1,-114.54,-114.54,95.56,111.805
Global Leather Executive Chair,Michael Moore,2/8/2001,8817.69,3852.01,4815.01,13632.7,15541.3
Polycom VoiceStation 100,Laura Armstrong,2/8/2001,525.49,481.104,601.38,1126.87,1262.09
Canon PC940 Copier,Tracy Zic,2/8/2001,5939.9,5249.74,6562.17,12502.1,14502.4
Laminate Occasional Tables,Laura Armstrong,2/9/2001,7473.76,-843.45,-843.45,6630.31,7227.04
Xerox 2000,Michael Moore,2/10/2001,465.64,-186.5,-186.5,279.14,340.551
Imation 3.5 IBM Diskettes  10/Box,Jas O_Carroll,2/11/2001,595.59,-251.42,-251.42,344.17,409.562
Newell 323,Sharelle Roach-McGee,2/11/2001,128.06,-39.4,-39.4,88.66,94.866
Executive Impressions 14Inch,Michael Moore,2/11/2001,482.61,174.256,217.82,700.43,826.507
Newell 340,Michael Moore,2/11/2001,94.82,20.728,25.91,120.73,148.498
Xerox 225,Sharelle Roach-McGee,2/12/2001,326.66,-76.99,-76.99,249.67,272.14
Xerox 1982,Ellis Ballard,2/12/2001,77.33,1.104,1.38,78.71,88.155
Canvas Sectional Post Binders,Elizabeth Moffitt,2/13/2001,338.12,105.888,132.36,470.48,522.233
Nokia i1000,Yoseph Carroll-Englig,2/14/2001,486.91,195.744,244.68,731.59,870.592
